run_key,true,pred,cas,hitk,cos_to_cn,cos_to_mci,cos_to_ad
Ours (Atlas+AnatDist)__seed153__fold1,0,0,0.261049,0.200000,0.975374,0.976076,0.960347
Ours (Atlas+AnatDist)__seed153__fold1,2,2,0.282773,0.200000,0.989644,0.991829,0.997751
Ours (Atlas+AnatDist)__seed153__fold1,0,0,0.286735,0.200000,0.986389,0.988234,0.989820
Ours (Atlas+AnatDist)__seed153__fold1,2,1,0.269647,0.200000,0.992688,0.993780,0.984150
Ours (Atlas+AnatDist)__seed153__fold1,0,1,0.276974,0.200000,0.990657,0.992577,0.994581
Ours (Atlas+AnatDist)__seed153__fold1,1,0,0.275316,0.200000,0.987136,0.988427,0.981665
Ours (Atlas+AnatDist)__seed153__fold1,0,0,0.277986,0.200000,0.990259,0.992211,0.993762
Ours (Atlas+AnatDist)__seed153__fold1,1,2,0.280955,0.200000,0.990428,0.992362,0.996287
Ours (Atlas+AnatDist)__seed153__fold1,2,2,0.290379,0.400000,0.982213,0.984228,0.995033
Ours (Atlas+AnatDist)__seed153__fold1,0,0,0.269445,0.200000,0.983292,0.984744,0.976719
Ours (Atlas+AnatDist)__seed153__fold1,1,0,0.270841,0.200000,0.983592,0.984677,0.973168
Ours (Atlas+AnatDist)__seed153__fold1,2,0,0.270918,0.200000,0.989684,0.991141,0.983856
Ours (Atlas+AnatDist)__seed153__fold1,2,0,0.263857,0.200000,0.978634,0.979010,0.960476
Ours (Atlas+AnatDist)__seed153__fold1,0,1,0.273518,0.200000,0.981734,0.983380,0.979006
Ours (Atlas+AnatDist)__seed153__fold1,1,1,0.273692,0.000000,0.991589,0.993553,0.991483
Ours (Atlas+AnatDist)__seed153__fold1,1,0,0.270323,0.200000,0.983198,0.983899,0.969546
Ours (Atlas+AnatDist)__seed153__fold1,1,1,0.274865,0.000000,0.991347,0.992994,0.989573
Ours (Atlas+AnatDist)__seed153__fold1,1,2,0.284424,0.200000,0.988629,0.990765,0.997882
Ours (Atlas+AnatDist)__seed153__fold2,1,1,0.265093,0.200000,0.978837,0.980691,0.978781
Ours (Atlas+AnatDist)__seed153__fold2,0,0,0.281982,0.400000,0.990387,0.991722,0.987631
Ours (Atlas+AnatDist)__seed153__fold2,0,0,0.277787,0.200000,0.992677,0.993192,0.982520
Ours (Atlas+AnatDist)__seed153__fold2,1,0,0.282826,0.200000,0.992551,0.993408,0.986687
Ours (Atlas+AnatDist)__seed153__fold2,0,0,0.278129,0.200000,0.990704,0.991444,0.984358
Ours (Atlas+AnatDist)__seed153__fold2,0,0,0.281757,0.200000,0.993701,0.994455,0.987309
Ours (Atlas+AnatDist)__seed153__fold2,2,2,0.284400,0.200000,0.969335,0.972728,0.990471
Ours (Atlas+AnatDist)__seed153__fold2,0,0,0.284758,0.200000,0.993840,0.995029,0.991924
Ours (Atlas+AnatDist)__seed153__fold2,2,1,0.275744,0.200000,0.987630,0.989304,0.988586
Ours (Atlas+AnatDist)__seed153__fold2,1,0,0.277988,0.200000,0.993036,0.993813,0.984801
Ours (Atlas+AnatDist)__seed153__fold2,0,0,0.282301,0.200000,0.992132,0.992561,0.982355
Ours (Atlas+AnatDist)__seed153__fold2,1,1,0.273556,0.200000,0.988612,0.988725,0.975051
Ours (Atlas+AnatDist)__seed153__fold2,1,0,0.281240,0.400000,0.992143,0.992840,0.983578
Ours (Atlas+AnatDist)__seed153__fold2,1,1,0.273779,0.200000,0.987827,0.988241,0.975266
Ours (Atlas+AnatDist)__seed153__fold2,2,2,0.284871,0.200000,0.959598,0.963066,0.982163
Ours (Atlas+AnatDist)__seed153__fold2,1,1,0.284592,0.200000,0.988008,0.989470,0.987574
Ours (Atlas+AnatDist)__seed153__fold2,1,1,0.282944,0.400000,0.972845,0.974874,0.979174
Ours (Atlas+AnatDist)__seed153__fold2,2,1,0.279496,0.200000,0.983504,0.984091,0.974129
Ours (Atlas+AnatDist)__seed153__fold2,1,0,0.280972,0.200000,0.992374,0.993027,0.985194
Ours (Atlas+AnatDist)__seed153__fold2,0,0,0.276827,0.200000,0.990512,0.990747,0.978120
Ours (Atlas+AnatDist)__seed153__fold2,1,0,0.276017,0.200000,0.991721,0.991987,0.978416
Ours (Atlas+AnatDist)__seed153__fold2,0,1,0.272553,0.200000,0.964930,0.967184,0.973636
Ours (Atlas+AnatDist)__seed153__fold2,1,0,0.279541,0.200000,0.991892,0.992365,0.982978
Ours (Atlas+AnatDist)__seed153__fold2,1,1,0.267337,0.200000,0.976524,0.977684,0.968646
Ours (Atlas+AnatDist)__seed153__fold2,1,1,0.284297,0.200000,0.985107,0.986263,0.982497
Ours (Atlas+AnatDist)__seed153__fold2,1,1,0.279265,0.200000,0.967917,0.970735,0.982049
Ours (Atlas+AnatDist)__seed153__fold2,1,0,0.277761,0.200000,0.988851,0.989090,0.976376
Ours (Atlas+AnatDist)__seed153__fold2,1,1,0.281982,0.200000,0.988741,0.990786,0.994777
Ours (Atlas+AnatDist)__seed153__fold2,2,2,0.283606,0.200000,0.961829,0.965318,0.985425
Ours (Atlas+AnatDist)__seed153__fold2,1,2,0.282818,0.200000,0.969811,0.972659,0.987247
Ours (Atlas+AnatDist)__seed153__fold2,1,1,0.275989,0.200000,0.980375,0.981746,0.978184
Ours (Atlas+AnatDist)__seed153__fold2,0,2,0.281698,0.200000,0.973216,0.976551,0.993047
Ours (Atlas+AnatDist)__seed153__fold2,0,0,0.283762,0.400000,0.992839,0.993914,0.990517
Ours (Atlas+AnatDist)__seed153__fold2,2,2,0.284849,0.200000,0.959426,0.963031,0.982638
Ours (Atlas+AnatDist)__seed153__fold2,0,0,0.279231,0.200000,0.992707,0.993340,0.984624
Ours (Atlas+AnatDist)__seed153__fold2,2,2,0.282438,0.200000,0.965442,0.968890,0.986952
Ours (Atlas+AnatDist)__seed153__fold2,0,0,0.285791,0.200000,0.992892,0.994154,0.991465
Ours (Atlas+AnatDist)__seed153__fold2,1,2,0.288074,0.200000,0.953830,0.957507,0.979688
Ours (Atlas+AnatDist)__seed153__fold2,0,0,0.277836,0.200000,0.991977,0.992410,0.981426
Ours (Atlas+AnatDist)__seed153__fold2,1,1,0.274591,0.200000,0.990779,0.990889,0.976748
Ours (Atlas+AnatDist)__seed153__fold2,2,1,0.266346,0.200000,0.973156,0.975314,0.979588
Ours (Atlas+AnatDist)__seed153__fold2,0,1,0.279918,0.200000,0.990080,0.991135,0.985325
Ours (Atlas+AnatDist)__seed153__fold2,1,1,0.275532,0.200000,0.984544,0.986427,0.986696
Ours (Atlas+AnatDist)__seed153__fold2,2,2,0.285370,0.200000,0.970176,0.973476,0.989467
Ours (Atlas+AnatDist)__seed153__fold2,2,2,0.281196,0.200000,0.966884,0.970357,0.985667
Ours (Atlas+AnatDist)__seed153__fold2,0,0,0.276815,0.200000,0.993963,0.994476,0.984039
Ours (Atlas+AnatDist)__seed153__fold2,1,1,0.283011,0.400000,0.984456,0.986028,0.987990
Ours (Atlas+AnatDist)__seed153__fold2,1,2,0.285749,0.200000,0.981114,0.983979,0.996172
Ours (Atlas+AnatDist)__seed153__fold2,1,2,0.282910,0.200000,0.981352,0.984173,0.995798
Ours (Atlas+AnatDist)__seed153__fold2,1,1,0.281448,0.200000,0.979060,0.981829,0.992370
Ours (Atlas+AnatDist)__seed153__fold3,1,1,0.270487,0.200000,0.989756,0.990655,0.985421
Ours (Atlas+AnatDist)__seed153__fold3,0,0,0.298451,0.600000,0.991177,0.992109,0.988884
Ours (Atlas+AnatDist)__seed153__fold3,0,0,0.288382,0.600000,0.992071,0.993334,0.991781
Ours (Atlas+AnatDist)__seed153__fold3,1,1,0.271300,0.200000,0.989869,0.990775,0.985645
Ours (Atlas+AnatDist)__seed153__fold3,0,0,0.283411,0.400000,0.990642,0.991888,0.989820
Ours (Atlas+AnatDist)__seed153__fold3,0,2,0.283623,0.200000,0.989549,0.991571,0.994974
Ours (Atlas+AnatDist)__seed153__fold3,2,2,0.271240,0.200000,0.992086,0.993327,0.990652
Ours (Atlas+AnatDist)__seed153__fold3,0,0,0.280663,0.400000,0.991340,0.992432,0.987813
Ours (Atlas+AnatDist)__seed153__fold3,2,2,0.268757,0.000000,0.992133,0.993328,0.989632
Ours (Atlas+AnatDist)__seed153__fold3,1,2,0.257388,0.000000,0.990975,0.991897,0.983545
Ours (Atlas+AnatDist)__seed153__fold3,0,0,0.288556,0.600000,0.992395,0.993008,0.986513
Ours (Atlas+AnatDist)__seed153__fold3,1,1,0.258705,0.200000,0.980602,0.980979,0.969892
Ours (Atlas+AnatDist)__seed153__fold3,1,2,0.266787,0.000000,0.990251,0.991718,0.989274
Ours (Atlas+AnatDist)__seed153__fold3,1,1,0.274889,0.200000,0.986336,0.987169,0.981962
Ours (Atlas+AnatDist)__seed153__fold3,2,2,0.262062,0.000000,0.990145,0.991063,0.985768
Ours (Atlas+AnatDist)__seed153__fold3,1,1,0.258698,0.200000,0.983789,0.984383,0.974769
Ours (Atlas+AnatDist)__seed153__fold3,1,1,0.260667,0.000000,0.985438,0.986233,0.978361
Ours (Atlas+AnatDist)__seed153__fold3,2,2,0.262474,0.000000,0.991918,0.993009,0.988067
Ours (Atlas+AnatDist)__seed153__fold3,1,2,0.289194,0.400000,0.991623,0.993214,0.995587
Ours (Atlas+AnatDist)__seed153__fold3,0,0,0.279013,0.200000,0.993819,0.994677,0.989843
Ours (Atlas+AnatDist)__seed153__fold3,1,0,0.277592,0.000000,0.990857,0.992077,0.989092
Ours (Atlas+AnatDist)__seed153__fold3,0,0,0.294997,0.400000,0.992789,0.993500,0.987802
Ours (Atlas+AnatDist)__seed153__fold3,1,0,0.279766,0.200000,0.991560,0.992725,0.989563
Ours (Atlas+AnatDist)__seed153__fold3,1,1,0.267644,0.200000,0.987998,0.988600,0.980391
Ours (Atlas+AnatDist)__seed153__fold3,1,1,0.276919,0.200000,0.990304,0.991316,0.986922
Ours (Atlas+AnatDist)__seed153__fold3,1,0,0.280228,0.200000,0.989424,0.989872,0.982607
Ours (Atlas+AnatDist)__seed153__fold3,1,1,0.261719,0.000000,0.989587,0.990602,0.984312
Ours (Atlas+AnatDist)__seed153__fold3,1,1,0.258864,0.200000,0.987577,0.988224,0.978710
Ours (Atlas+AnatDist)__seed153__fold3,2,2,0.257598,0.000000,0.991728,0.992682,0.985548
Ours (Atlas+AnatDist)__seed153__fold3,1,1,0.274394,0.200000,0.989987,0.991078,0.986845
Ours (Atlas+AnatDist)__seed153__fold3,1,1,0.262137,0.200000,0.987092,0.988187,0.981877
Ours (Atlas+AnatDist)__seed153__fold3,0,0,0.295631,0.600000,0.992384,0.993566,0.991760
Ours (Atlas+AnatDist)__seed153__fold3,0,0,0.289127,0.400000,0.988761,0.989221,0.983328
Ours (Atlas+AnatDist)__seed153__fold3,2,1,0.268284,0.000000,0.992261,0.993202,0.986650
Ours (Atlas+AnatDist)__seed153__fold3,0,1,0.275551,0.200000,0.991669,0.992845,0.989813
Ours (Atlas+AnatDist)__seed153__fold3,2,0,0.277299,0.200000,0.991285,0.992178,0.986895
Ours (Atlas+AnatDist)__seed153__fold3,0,1,0.271391,0.200000,0.989340,0.990225,0.984612
Ours (Atlas+AnatDist)__seed153__fold3,1,1,0.279455,0.200000,0.990361,0.991547,0.989388
Ours (Atlas+AnatDist)__seed153__fold3,0,0,0.299842,0.600000,0.990813,0.991792,0.989680
Ours (Atlas+AnatDist)__seed153__fold3,1,1,0.284037,0.400000,0.990501,0.991437,0.989191
Ours (Atlas+AnatDist)__seed153__fold3,2,2,0.291921,0.200000,0.986879,0.988595,0.994799
Ours (Atlas+AnatDist)__seed153__fold3,0,0,0.282462,0.200000,0.993278,0.994413,0.990242
Ours (Atlas+AnatDist)__seed153__fold3,1,2,0.275828,0.200000,0.992055,0.993227,0.990526
Ours (Atlas+AnatDist)__seed153__fold3,2,1,0.261387,0.200000,0.984390,0.985006,0.976588
Ours (Atlas+AnatDist)__seed153__fold3,2,1,0.268238,0.200000,0.986236,0.987125,0.981766
Ours (Atlas+AnatDist)__seed153__fold3,0,0,0.307719,0.600000,0.988516,0.989257,0.987689
Ours (Atlas+AnatDist)__seed153__fold3,1,0,0.282713,0.400000,0.991427,0.992481,0.987568
Ours (Atlas+AnatDist)__seed153__fold3,1,0,0.281623,0.200000,0.992013,0.992945,0.988245
Ours (Atlas+AnatDist)__seed153__fold3,1,2,0.271824,0.200000,0.990661,0.991957,0.989217
Ours (Atlas+AnatDist)__seed153__fold3,1,0,0.279329,0.400000,0.990813,0.991523,0.986531
Ours (Atlas+AnatDist)__seed153__fold4,1,0,0.268948,0.000000,0.995745,0.995688,0.980982
Ours (Atlas+AnatDist)__seed153__fold4,0,0,0.224194,0.000000,0.949150,0.945034,0.892150
Ours (Atlas+AnatDist)__seed153__fold4,0,1,0.267293,0.200000,0.988338,0.987397,0.963861
Ours (Atlas+AnatDist)__seed153__fold4,1,0,0.217479,0.200000,0.920179,0.914997,0.851386
Ours (Atlas+AnatDist)__seed153__fold4,0,0,0.229124,0.000000,0.949156,0.945170,0.892469
Ours (Atlas+AnatDist)__seed153__fold4,0,0,0.236352,0.000000,0.972699,0.970058,0.927280
Ours (Atlas+AnatDist)__seed153__fold4,2,2,0.311902,0.600000,0.971057,0.974570,0.993473
Ours (Atlas+AnatDist)__seed153__fold4,0,1,0.248535,0.000000,0.984185,0.982504,0.952851
Ours (Atlas+AnatDist)__seed153__fold4,2,1,0.239550,0.200000,0.974388,0.971300,0.927365
Ours (Atlas+AnatDist)__seed153__fold4,1,2,0.296695,0.400000,0.981588,0.984169,0.995643
Ours (Atlas+AnatDist)__seed153__fold4,0,0,0.239718,0.000000,0.968435,0.965373,0.923926
Ours (Atlas+AnatDist)__seed153__fold4,1,1,0.281369,0.200000,0.992417,0.993033,0.985521
Ours (Atlas+AnatDist)__seed153__fold4,1,1,0.233683,0.200000,0.948574,0.943767,0.889290
Ours (Atlas+AnatDist)__seed153__fold4,1,1,0.272798,0.200000,0.974026,0.971824,0.942740
Ours (Atlas+AnatDist)__seed153__fold4,2,2,0.289649,0.200000,0.986788,0.988811,0.993365
Ours (Atlas+AnatDist)__seed153__fold4,1,1,0.237915,0.000000,0.977359,0.974708,0.934978
Ours (Atlas+AnatDist)__seed153__fold4,1,1,0.276667,0.200000,0.989137,0.988768,0.971228
Ours (Atlas+AnatDist)__seed153__fold4,2,2,0.317457,0.600000,0.967391,0.970994,0.992971
Ours (Atlas+AnatDist)__seed153__fold4,1,1,0.282490,0.200000,0.988815,0.989180,0.981452
Ours (Atlas+AnatDist)__seed153__fold4,0,1,0.229695,0.000000,0.950817,0.946750,0.900273
Ours (Atlas+AnatDist)__seed153__fold4,1,1,0.227930,0.000000,0.968664,0.965555,0.919449
Ours (Atlas+AnatDist)__seed153__fold4,0,1,0.263303,0.000000,0.994436,0.994184,0.976863
Ours (Atlas+AnatDist)__seed153__fold4,1,0,0.231842,0.000000,0.961899,0.958179,0.904147
Ours (Atlas+AnatDist)__seed153__fold4,1,1,0.265209,0.200000,0.948819,0.945901,0.907142
Ours (Atlas+AnatDist)__seed153__fold4,1,1,0.266220,0.000000,0.989946,0.989370,0.973924
Ours (Atlas+AnatDist)__seed153__fold4,1,1,0.265520,0.000000,0.988951,0.988972,0.977557
Ours (Atlas+AnatDist)__seed153__fold4,1,1,0.228084,0.000000,0.964421,0.960874,0.913039
Ours (Atlas+AnatDist)__seed153__fold4,1,0,0.259339,0.000000,0.990902,0.990129,0.968257
Ours (Atlas+AnatDist)__seed153__fold4,2,1,0.262179,0.200000,0.954482,0.951593,0.920762
Ours (Atlas+AnatDist)__seed153__fold4,1,1,0.238393,0.200000,0.929559,0.924134,0.866764
Ours (Atlas+AnatDist)__seed153__fold4,1,1,0.255991,0.200000,0.977810,0.975684,0.945345
Ours (Atlas+AnatDist)__seed153__fold4,0,1,0.223892,0.200000,0.931880,0.926677,0.861166
Ours (Atlas+AnatDist)__seed153__fold4,0,1,0.212683,0.000000,0.930330,0.924869,0.865465
Ours (Atlas+AnatDist)__seed153__fold4,2,1,0.218736,0.000000,0.939585,0.934732,0.881347
Ours (Atlas+AnatDist)__seed153__fold4,0,0,0.241839,0.200000,0.968591,0.965443,0.922762
Ours (Atlas+AnatDist)__seed153__fold4,2,1,0.261215,0.000000,0.991710,0.991139,0.972487
Ours (Atlas+AnatDist)__seed153__fold4,0,2,0.288952,0.400000,0.989903,0.991642,0.993388
Ours (Atlas+AnatDist)__seed153__fold4,1,2,0.303624,0.400000,0.974953,0.978242,0.996277
Ours (Atlas+AnatDist)__seed153__fold4,0,0,0.237215,0.000000,0.967493,0.964260,0.920129
Ours (Atlas+AnatDist)__seed153__fold4,1,1,0.255429,0.200000,0.985281,0.983877,0.956790
Ours (Atlas+AnatDist)__seed153__fold4,2,2,0.323622,0.600000,0.958949,0.963082,0.991124
Ours (Atlas+AnatDist)__seed153__fold4,0,0,0.228926,0.000000,0.948569,0.944223,0.891662
Ours (Atlas+AnatDist)__seed153__fold4,1,1,0.244978,0.200000,0.959613,0.956748,0.920820
Ours (Atlas+AnatDist)__seed153__fold4,2,2,0.313048,0.600000,0.969574,0.973183,0.994522
Ours (Atlas+AnatDist)__seed153__fold4,2,1,0.291939,0.200000,0.979526,0.979421,0.971054
Ours (Atlas+AnatDist)__seed153__fold4,0,0,0.250897,0.200000,0.940332,0.935619,0.880937
Ours (Atlas+AnatDist)__seed153__fold4,1,1,0.265396,0.000000,0.993694,0.993791,0.981126
Ours (Atlas+AnatDist)__seed153__fold4,1,1,0.220846,0.000000,0.942905,0.938182,0.881779
Ours (Atlas+AnatDist)__seed153__fold4,1,1,0.261432,0.000000,0.990054,0.989570,0.973253
Ours (Atlas+AnatDist)__seed153__fold4,1,1,0.235037,0.200000,0.935071,0.930292,0.874384
Ours (Atlas+AnatDist)__seed264__fold0,1,1,0.313033,0.600000,0.978756,0.981324,0.993892
Ours (Atlas+AnatDist)__seed264__fold0,0,0,0.281597,0.200000,0.994701,0.995744,0.994350
Ours (Atlas+AnatDist)__seed264__fold0,1,1,0.271730,0.200000,0.997136,0.997288,0.984500
Ours (Atlas+AnatDist)__seed264__fold0,1,0,0.245109,0.200000,0.977163,0.974546,0.940771
Ours (Atlas+AnatDist)__seed264__fold0,2,2,0.354138,0.600000,0.943881,0.948097,0.973689
Ours (Atlas+AnatDist)__seed264__fold0,0,0,0.250125,0.200000,0.980824,0.978822,0.954437
Ours (Atlas+AnatDist)__seed264__fold0,1,0,0.242131,0.200000,0.969487,0.966713,0.937887
Ours (Atlas+AnatDist)__seed264__fold0,0,0,0.252928,0.400000,0.961201,0.958511,0.933914
Ours (Atlas+AnatDist)__seed264__fold0,1,1,0.249044,0.200000,0.976524,0.974514,0.949306
Ours (Atlas+AnatDist)__seed264__fold0,0,0,0.240391,0.000000,0.967084,0.964127,0.933817
Ours (Atlas+AnatDist)__seed264__fold0,0,0,0.239322,0.000000,0.959994,0.956699,0.924914
Ours (Atlas+AnatDist)__seed264__fold0,1,1,0.261106,0.200000,0.987559,0.986341,0.966724
